year,country,broadcaster,artist,song,language,songwriter_s,conductor
1959,United Kingdom,BBC,Pearl Carr and Teddy Johnson,Sing Little Birdie,English,Stan ButcherSyd Cordell,Eric Robinson
1960,Austria,ORF,Harry Winter,Du hast mich so fasziniert,German,Robert GilbertRobert Stolz,Robert Stolz
1960,Belgium,INR,Fud Leclerc,Mon amour pour toi,French,Robert Montal Jack Say,Henri Segers
1960,Denmark,DR,Katy Bødtger,Det var en yndig tid,Danish,Sven BuemannVilfred Kjær,Kai Mortensen
1960,France,RTF,Jacqueline Boyer,Tom Pillibi,French,Pierre CourAndré Popp,Franck Pourcel
1960,Germany,HR,Wyn Hoop,Bonne nuit ma chérie,German,Franz Josef Breuer Kurt Schwabach,Franz Josef Breuer
1960,Italy,RAI,Renato Rascel,Romantica,Italian,Renato RascelDino Verde,Cinico Angelini
1960,Luxembourg,CLT,Camillo Felgen,So laang we's du do bast,Luxembourgish,Henri MootsJean Roderès,Eric Robinson
1960,Monaco,TMC,François Deguelt,Ce soir-là,French,Pierre DorseyHubert Giraud,Raymond Lefèvre
1960,Netherlands,NTS,Rudi Carrell,Wat een geluk,Dutch,Willy van HemertDick Schallies,Dolf van der Linden
1960,Norway,NRK,Nora Brockstedt,Voi-voi,Norwegian,Georg Elgaaen,Øivind Bergh
1960,Sweden,SR,Siw Malmkvist,Alla andra får varann,Swedish,Åke GerhardUlf Källqvist,Thore Ehrling
1960,Switzerland,SRG SSR,Anita Traversi,Cielo e terra,Italian,Mario Robbiani,Cédric Dumont
1960,United Kingdom,BBC,Bryan Johnson,"Looking High, High, High",English,John Watson,Eric Robinson
1961,Austria,ORF,Jimmy Makulis,Sehnsucht,German,Leopold Andrejewitsch,Franck Pourcel
1961,Belgium,BRT,Bob Benny,"September, gouden roos",Dutch,Wim BrabantsHans Flower,Francis Bay
1961,Denmark,DR,Dario Campeotto,Angelique,Danish,Aksel V. Rasmussen,Kai Mortensen
1961,Finland,YLE,Laila Kinnunen,Valoa ikkunassa,Finnish,Eino HurmeSauvo Puhtila,George de Godzinsky
1961,France,RTF,Jean-Paul Mauric,Printemps (avril carillonne),French,Francis BaxterGuy Favereau,Franck Pourcel
1961,Germany,HR,Lale Andersen,Einmal sehen wir uns wieder,"German, French",Ernst BaderRudolf Maluck,Franck Pourcel
1961,Italy,RAI,Betty Curtis,Al di là,Italian,Carlo DonidaGiulio Rapetti,Gianfranco Intra
1961,Luxembourg,CLT,Jean-Claude Pascal,Nous les amoureux,French,Jacques DatinMaurice Vidalin,Léo Chauliac
1961,Monaco,TMC,Colette Deréal,"Allons, allons les enfants",French,Pierre DelanoëHubert Giraud,Raymond Lefèvre
1961,Netherlands,NTS,Greetje Kauffeld,Wat een dag,Dutch,Pieter GoemansDick Schallies,Dolf van der Linden
1961,Norway,NRK,Nora Brockstedt,Sommer i Palma,Norwegian,Egil Hagen Jan Wølner,Øivind Bergh
1961,Spain,TVE,Conchita Bautista,Estando contigo,Spanish,Augusto AlgueróAntonio Guijarro Campoy,Rafael Ferrer
1961,Sweden,SR,Lill-Babs,"April, april",Swedish,Bo Eneby Bobbie Ericson,William Lind
1961,Switzerland,SRG SSR,Franca di Rienzo,Nous aurons demain,French,Émile GardazGéo Voumard,Fernando Paggi
1961,United Kingdom,BBC,The Allisons,Are You Sure?,English,John AlfordBob Day,Harry Robinson
1961,Yugoslavia,JRT,Ljiljana Petrović,"Neke davne zvezde"" (Неке давне звезде)",Serbo-Croatian,Miroslav AntićJože Privšek,Jože Privšek
1962,Austria,ORF,Eleonore Schwarz,Nur in der Wiener Luft,German,Bruno Uher,Bruno Uher
1962,Belgium,RTB,Fud Leclerc,Ton nom,French,Eric Channe Tony Golan,Henri Segers
1962,Denmark,DR,Ellen Winther,Vuggevise,Danish,Kjeld BonfilsSejr Volmer-Sørensen,Kai Mortensen
1962,Finland,YLE,Marion Rung,Tipi-tii,Finnish,Jaakko Salo Kari Tuomisaari,George de Godzinsky
1962,France,RTF,Isabelle Aubret,Un premier amour,French,Roland ValadeClaude-Henri Vic,Franck Pourcel
1962,Germany,SWF,Conny Froboess,Zwei kleine Italiener,German,Christian Bruhn Georg Buschor,Rolf-Hans Müller
1962,Italy,RAI,Claudio Villa,"Addio, addio",Italian,Franco MigliacciDomenico Modugno,Cinico Angelini
1962,Luxembourg,CLT,Camillo Felgen,Petit bonhomme,French,Jacques DatinMaurice Vidalin,Jean Roderès
1962,Monaco,TMC,François Deguelt,Dis rien,French,René Rouzaud Henri Salvador,Raymond Lefèvre
1962,Netherlands,NTS,De Spelbrekers,Katinka,Dutch,Henny Hamhuis [nds-nl]Lodewijk PostJoop Stokkermans,Dolf van der Linden
1962,Norway,NRK,Inger Jacobsen,"Kom sol, kom regn",Norwegian,Ivar Andersen Kjell Karlsen,Øivind Bergh
1962,Spain,TVE,Víctor Balaguer,Llámame,Spanish,Miguel Portolés Mario Sellés,Jean Roderès
1962,Sweden,SR,Inger Berggren,Sol och vår,Swedish,Åke GerhardUlf Källqvist,Egon Kjerrman
1962,Switzerland,SRG SSR,Jean Philippe,Le Retour,French,Émile GardazGéo Voumard,Cédric Dumont
1962,United Kingdom,BBC,Ronnie Carroll,Ring-A-Ding Girl,English,Stan ButcherSyd Cordell,Angela Morley
1962,Yugoslavia,JRT,Lola Novaković,"Ne pali svetla u sumrak"" (Не пали светла у сумрак)",Serbo-Croatian,Dragutin BritvićJože Privšek,Jože Privšek
1963,Austria,ORF,Carmela Corren,Vielleicht geschieht ein Wunder,"German, English",Erwin HalletzNorman NewellPeter Wehle,Erwin Halletz
1963,Belgium,BRT,Jacques Raymond,Waarom?,Dutch,Wim BrabantsHans Flower,Francis Bay
1963,Denmark,DR,Grethe and Jørgen Ingmann,Dansevise,Danish,Otto Francker Sejr Volmer-Sørensen,Kai Mortensen
1963,Finland,YLE,Laila Halme,Muistojeni laulu,Finnish,Börje Sundgren,George de Godzinsky
1963,France,RTF,Alain Barrière,Elle était si jolie,French,Alain Barrière,Franck Pourcel
1963,Germany,HR,Heidi Brühl,Marcel,German,Charly Niessen,Willy Berking
1963,Italy,RAI,Emilio Pericoli,Uno per tutte,Italian,Giulio RapettiTony RenisAlberto Testa,Gigi Cichellero
1963,Luxembourg,CLT,Nana Mouskouri,À force de prier,French,Raymond Bernard Pierre Delanoë,Eric Robinson
1963,Monaco,TMC,Françoise Hardy,L'amour s'en va,French,Françoise Hardy,Raymond Lefèvre
1963,Netherlands,NTS,Annie Palmen,Een speeldoos,Dutch,Pieter Goemans,Eric Robinson
1963,Norway,NRK,Anita Thallaug,Solhverv,Norwegian,Dag Kristoffersen,Øivind Bergh
1963,Spain,TVE,José Guardiola,Algo prodigioso,Spanish,Fernando García Morcillo Camillo Murillo Janero,Rafael Ibarbia
1963,Sweden,SR,Monica Zetterlund,En gång i Stockholm,Swedish,Bobbie Ericson Beppe Wolgers,William Lind
1963,Switzerland,SRG SSR,Esther Ofarim,T'en va pas,French,Émile GardazGéo Voumard,Eric Robinson
1963,United Kingdom,BBC,Ronnie Carroll,Say Wonderful Things,English,Philip GreenNorman Newell,Eric Robinson
1963,Yugoslavia,JRT,Vice Vukov,"Brodovi"" (Бродови)",Serbo-Croatian,Mario Nardelli,Miljenko Prohaska
1964,Austria,ORF,Udo Jürgens,"Warum nur, warum?",German,Udo Jürgens,Johannes Fehring
1964,Belgium,RTB,Robert Cogoi,Près de ma rivière,French,Robert Cogoi,Henri Segers
1964,Denmark,DR,Bjørn Tidmand,Sangen om dig,Danish,Mogens Dam Aksel V. Rasmussen,Kai Mortensen
1964,Finland,YLE,Lasse Mårtenson,Laiskotellen,Finnish,Lasse MårtensonSauvo Puhtila,George de Godzinsky
1964,France,RTF,Rachel,Le Chant de Mallory,French,Pierre CourAndré Popp,Franck Pourcel
1964,Germany,HR,Nora Nova,Man gewöhnt sich so schnell an das Schöne,German,Rudi von der Dovenmühle Nils Nobach,Willy Berking
1964,Italy,RAI,Gigliola Cinquetti,Non ho l'età,Italian,Mario PanzeriNicola Salerno,Gianfranco Monaldi
1964,Luxembourg,CLT,Hugues Aufray,Dès que le printemps revient,French,Hugues AufrayJacques Plante,Jacques Denjean
1964,Monaco,TMC,Romuald,Où sont-elles passées,French,Pierre BarouhFrancis Lai,Michel Colombier
1964,Netherlands,NTS,Anneke Grönloh,Jij bent mijn leven,Dutch,Ted PowderRené de Vos,Dolf van der Linden
1964,Norway,NRK,Arne Bendiksen,Spiral,Norwegian,Egil Hagen Sigurd Jansen,Karsten Andersen
1964,Portugal,RTP,António Calvário,Oração,Portuguese,Rogério BraçinhaJoão NobreFrancisco Nicholson,Kai Mortensen
1964,Spain,TVE,Nelly with Tim and Tony,Caracola,Spanish,Fina de Calderón,Rafael Ibarbia
1964,Switzerland,SRG SSR,Anita Traversi,I miei pensieri,Italian,Sanzio ChiesaGiovanni Pelli,Fernando Paggi
1964,United Kingdom,BBC,Matt Monro,I Love the Little Things,English,Tony Hatch,Harry Rabinowitz
1964,Yugoslavia,JRT,Sabahudin Kurt,"Život je sklopio krug"" (Живот је склопио круг)",Serbo-Croatian,Srđan MatijevićStevan Raičković,Radivoje Spasić
1965,Austria,ORF,Udo Jürgens,"Sag ihr, ich lass sie grüßen",German,Frank BohlenUdo Jürgens,Gianni Ferrio
1965,Belgium,BRT,Lize Marke,Als het weer lente is,Dutch,Jaak Dreesen Jef Van den Berg,Gaston Nuyts
1965,Denmark,DR,Birgit Brüel,For din skyld,Danish,Poul HenningsenJørgen Jersild,Arne Lamberth
1965,Finland,YLE,Viktor Klimenko,Aurinko laskee länteen,Finnish,Reino HelismaaToivo Kärki,George de Godzinsky
1965,France,ORTF,Guy Mardel,N'avoue jamais,French,Françoise DorinGuy Mardel,Franck Pourcel
1965,Germany,NDR,Ulla Wiesner,"Paradies, wo bist du?",German,Hans BlumBarbara Kist,Alfred Hause
1965,Ireland,RÉ,Butch Moore,I'm Walking the Streets in the Rain,English,Teresa ConlonJoe HarriganGeorge Prendergast,Gianni Ferrio
1965,Italy,RAI,Bobby Solo,"Se piangi, se ridi",Italian,Gianni MarchettiGiulio RapettiRoberto Satti,Gianni Ferrio
1965,Luxembourg,CLT,France Gall,"Poupée de cire, poupée de son",French,Serge Gainsbourg,Alain Goraguer
1965,Monaco,TMC,Marjorie Noël,Va dire à l'amour,French,Raymond Bernard Jacques Mareuil,Raymond Bernard
1965,Netherlands,NTS,Conny Vandenbos,Het is genoeg,Dutch,Johnny Holshuyzen Joke van Soest,Dolf van der Linden
1965,Norway,NRK,Kirsti Sparboe,Karusell,Norwegian,Jolly Kramer-Johansen,Øivind Bergh
1965,Portugal,RTP,Simone de Oliveira,Sol de inverno,Portuguese,Jerónimo Bragança Carlos Nóbrega e Sousa,Fernando de Carvalho
1965,Spain,TVE,Conchita Bautista,"Qué bueno, qué bueno",Spanish,Antonio Figueroa Egea,Adolfo Ventas Rodríguez
1965,Sweden,SR,Ingvar Wixell,Absent Friend,English,Alf HenriksonDag Wirén,William Lind
1965,Switzerland,SRG SSR,Yovanna,"Non, à jamais sans toi",French,Bob CalfatiJean Charles,Mario Robbiani
1965,United Kingdom,BBC,Kathy Kirby,I Belong,English,Phil PetersPeter Lee Sterling,Eric Robinson
1965,Yugoslavia,JRT,Vice Vukov,"Čežnja"" (Чежња)",Serbo-Croatian,Julio MarićŽarko Roje,Radivoje Spasić
1966,Austria,ORF,Udo Jürgens,"Merci, Chérie",German,Thomas HörbigerUdo Jürgens,Hans Hammerschmid
1966,Belgium,RTB,Tonia,"Un peu de poivre, un peu de sel",French,Paul QuintensPhil Van Cauwenbergh,Jean Roderès
1966,Denmark,DR,Ulla Pia,Stop – mens legen er go',Danish,Erik Kåre,Arne Lamberth
1966,Finland,YLE,Ann-Christine,Playboy,Finnish,Ossi Runne,Ossi Runne
1966,France,ORTF,Dominique Walter,Chez nous,French,Claude Carrère Jacques Plante,Franck Pourcel
1966,Germany,HR,Margot Eskens,Die Zeiger der Uhr,German,Hans Bradtke Walter Dobschinski,Willy Berking
1966,Ireland,RÉ,Dickie Rock,Come Back to Stay,English,Rowland Soper,Noel Kelehan
1966,Italy,RAI,Domenico Modugno,"Dio, come ti amo",Italian,Domenico Modugno,Angelo Giacomazzi
1966,Luxembourg,CLT,Michèle Torr,Ce soir je t'attendais,French,Jacques Chaumelle Bernard Kesslair,Jean Roderès
1966,Monaco,TMC,Téréza,Bien plus fort,French,Gérard Bourgeois Jean-Max Rivière,Alain Goraguer
1966,Netherlands,NTS,Milly Scott,Fernando en Philippo,Dutch,Gerrit den BraberKees de Bruyn,Dolf van der Linden
1966,Norway,NRK,Åse Kleveland,Intet er nytt under solen,Norwegian,Arne Bendiksen,Øivind Bergh
1966,Portugal,RTP,Madalena Iglésias,Ele e ela,Portuguese,Carlos Canelhas,Jorge Costa Pinto
1966,Spain,TVE,Raphael,Yo soy aquél,Spanish,Manuel Alejandro,Rafael Ibarbia
1966,Sweden,SR,Lill Lindfors and Svante Thuresson,Nygammal vals,Swedish,Björn Lindroth Bengt-Arne Wallin,Gert-Ove Andersson
1966,Switzerland,SRG SSR,Madeleine Pascal,Ne vois-tu pas ?,French,Pierre BrennerRoland Schweizer,Jean Roderès
1966,United Kingdom,BBC,Kenneth McKellar,A Man Without Love,English,Peter CallanderCyril Ornadel,Harry Rabinowitz
1966,Yugoslavia,JRT,Berta Ambrož,Brez besed,Slovene,Elza Budau Mojmir Sepe,Mojmir Sepe
1967,Austria,ORF,Peter Horton,Warum es hunderttausend Sterne gibt,German,Karin BognarKurt Peche,Johannes Fehring
1967,Belgium,BRT,Louis Neefs,Ik heb zorgen,Dutch,Paul QuintensPhil Van Cauwenbergh,Francis Bay
1967,Finland,YLE,Fredi,Varjoon – suojaan,Finnish,Lasse MårtensonAlvi Vuorinen,Ossi Runne
1967,France,ORTF,Noëlle Cordier,Il doit faire beau là-bas,French,Pierre DelanoëHubert Giraud,Franck Pourcel
1967,Germany,HR,Inge Brück,Anouschka,German,Hans Blum,Hans Blum
1967,Ireland,RTÉ,Sean Dunphy,If I Could Choose,English,Wesley BurrowesMichael Coffey,Noel Kelehan
1967,Italy,RAI,Claudio Villa,Non andare più lontano,Italian,Gino MescoliVito Pallavicini,Giancarlo Chiaramello
1967,Luxembourg,CLT,Vicky,L'amour est bleu,French,Pierre CourAndré Popp,Claude Denjean
1967,Monaco,TMC,Minouche Barelli,Boum-Badaboum,French,Michel ColombierSerge Gainsbourg,Aimé Barelli
1967,Netherlands,NTS,Thérèse Steinmetz,Ringe-dinge,Dutch,Gerrit den BraberJohnny Holshuysen,Dolf van der Linden
1967,Norway,NRK,Kirsti Sparboe,Dukkemann,Norwegian,Tor Hultin Ola B. Johannessen,Øivind Bergh
1967,Portugal,RTP,Eduardo Nascimento,O vento mudou,Portuguese,Nuno Nazareth Fernandes João Magalhães Pereira,Tavares Belo
1967,Spain,TVE,Raphael,Hablemos del amor,Spanish,Manuel Alejandro,Manuel Alejandro
1967,Sweden,SR,Östen Warnerbring,Som en dröm,Swedish,Patrice Hellberg Marcus ÖsterdahlCurt Peterson,Mats Olsson
1967,Switzerland,SRG SSR,Géraldine,Quel cœur vas-tu briser ?,French,Daniël FaureGérard Gray,Hans Moeckel
1967,United Kingdom,BBC,Sandie Shaw,Puppet on a String,English,Phil CoulterBill Martin,Kenny Woodman
1967,Yugoslavia,JRT,Lado Leskovar,Vse rože sveta,Slovene,Urban Koder Milan Lindič,Mario Rijavec
1968,Austria,ORF,Karel Gott,Tausend Fenster,German,Walter Brandin Udo Jürgens,Robert Opratko
1968,Belgium,RTB,Claude Lombard,Quand tu reviendras,French,Roland DeroJo Van Wetter,Henri Segers
1968,Finland,YLE,Kristina Hautala,Kun kello käy,Finnish,Esko Linnavalli Juha Vainio,Ossi Runne
1968,France,ORTF,Isabelle Aubret,La Source,French,Guy BonnetHenri DijanDaniël Faure,Alain Goraguer
1968,Germany,HR,Wencke Myhre,Ein Hoch der Liebe,German,Horst JankowskiCarl J. Schäuble,Horst Jankowski
1968,Ireland,RTÉ,Pat McGeegan,Chance of a Lifetime,English,John Kennedy,Noel Kelehan
1968,Italy,RAI,Sergio Endrigo,Marianne,Italian,Sergio Endrigo,Giancarlo Chiaramello
1968,Luxembourg,CLT,Chris Baldo and Sophie Garel,Nous vivrons d'amour,French,Jacques Demarny Carlos Leresche,André Borly
1968,Monaco,TMC,Line and Willy,À chacun sa chanson,French,Jean-Claude OlivierRoland Valade,Michel Colombier
1968,Netherlands,NTS,Ronnie Tober,Morgen,Dutch,Joop StokkermansTheo Strengers,Dolf van der Linden
1968,Norway,NRK,Odd Børre,Stress,Norwegian,Tor Hultin Ola B. Johannessen,Øivind Bergh
1968,Portugal,RTP,Carlos Mendes,Verão,Portuguese,José Alberto DiogoPedro Osório,Joaquim Luís Gomes
1968,Spain,TVE,Massiel,La La La,Spanish,Ramón Arcusa Manuel de la Calva,Rafael Ibarbia
1968,Sweden,SR,Claes-Göran Hederström,"Det börjar verka kärlek, banne mej",Swedish,Peter Himmelstrand,Mats Olsson
1968,Switzerland,SRG SSR,Gianni Mascolo,Guardando il sole,Italian,Sanzio ChiesaAldo D'Addario,Mario Robbiani
1968,United Kingdom,BBC,Cliff Richard,Congratulations,English,Phil CoulterBill Martin,Norrie Paramor
1968,Yugoslavia,JRT,Lući Kapurso and Hamo Hajdarhodžić,"Jedan dan"" (Један дан)",Serbo-Croatian,Đelo JusićStipica Kalogjera Stijepo Stražičić,Miljenko Prohaska
1969,Belgium,BRT,Louis Neefs,Jennifer Jennings,Dutch,Paul QuintensPhil Van Cauwenbergh,Francis Bay
1969,Finland,YLE,Jarkko and Laura,Kuin silloin ennen,Finnish,Toivo KärkiJuha Vainio,Ossi Runne
1969,France,ORTF,Frida Boccara,"Un jour, un enfant",French,Eddy MarnayÉmile Stern,Franck Pourcel
1969,Germany,HR,Siw Malmkvist,Primaballerina,German,Hans Blum,Hans Blum
1969,Ireland,RTÉ,Muriel Day,The Wages of Love,English,Michael Reade,Noel Kelehan
1969,Italy,RAI,Iva Zanicchi,Due grosse lacrime bianche,Italian,Claudio Daiano Piero Soffici,Ezio Leoni
1969,Luxembourg,CLT,Romuald,Catherine,French,André BorlyPaul MauriatAndré Pascal,Augusto Algueró
1969,Monaco,TMC,Jean-Jacques,"Maman, Maman",French,Jo Perrier,Hervé Roy
1969,Netherlands,NTS,Lenny Kuhr,De troubadour,Dutch,David Hartsema Lenny Kuhr,Frans de Kok
1969,Norway,NRK,Kirsti Sparboe,"Oj, oj, oj, så glad jeg skal bli",Norwegian,Arne Bendiksen,Øivind Bergh
1969,Portugal,RTP,Simone de Oliveira,Desfolhada portuguesa,Portuguese,Nuno Nazareth Fernandes José Carlos Ary dos Santos,Ferrer Trindade
1969,Spain,TVE,Salomé,Vivo cantando,Spanish,Aniano AlcaldeMaría José de Cerato,Augusto Algueró
1969,Sweden,SR,Tommy Körberg,"Judy, min vän",Swedish,Britt LindeborgRoger Wallis,Lars Samuelson
1969,Switzerland,SRG SSR,Paola,"Bonjour, Bonjour",German,Henry MayerJack Stark,Henry Mayer
1969,United Kingdom,BBC,Lulu,Boom Bang-a-Bang,English,Alan MoorhousePeter Warne,Johnny Harris
1969,Yugoslavia,JRT,Ivan,"Pozdrav svijetu"" (Поздрав свијету)",Serbo-Croatian,Milan Lentić,Miljenko Prohaska
1970,Belgium,RTB,Jean Vallée,Viens l'oublier,French,Jean Vallée,Jack Say
1970,France,ORTF,Guy Bonnet,Marie-Blanche,French,Guy BonnetPierre-André Dousset,Franck Pourcel
1970,Germany,HR,Katja Ebstein,Wunder gibt es immer wieder,German,Christian Bruhn Günter Loose,Christian Bruhn
1970,Ireland,RTÉ,Dana,All Kinds of Everything,English,Derry LindsayJackie Smith,Dolf van der Linden
1970,Italy,RAI,Gianni Morandi,Occhi di ragazza,Italian,Gianfranco BaldazziSergio BardottiLucio Dalla,Mario Capuano
1970,Luxembourg,CLT,David Alexandre Winter,Je suis tombé du ciel,French,Eddy MarnayYves de Vriendt,Raymond Lefèvre
1970,Monaco,TMC,Dominique Dussault,Marlène,French,Eddie BarclayHenri DijanJimmy Walter,Jimmy Walter
1970,Netherlands,NOS,Patricia and Hearts of Soul,Waterman,Dutch,Pieter Goemans,Dolf van der Linden
1970,Spain,TVE,Julio Iglesias,Gwendolyne,Spanish,Julio Iglesias,Augusto Algueró
1970,Switzerland,SRG SSR,Henri Dès,Retour,French,Henri Dès,Bernard Gérard
1970,United Kingdom,BBC,Mary Hopkin,"Knock, Knock (Who's There?)",English,John CarterGeoff Stephens,Johnny Arthey
1970,Yugoslavia,JRT,Eva Sršen,"Pridi, dala ti bom cvet",Slovene,Mojmir SepeDušan Velkaverh,Mojmir Sepe
1971,Austria,ORF,Marianne Mendt,Musik,German,Manuel RigoniRichard Schönherz,Robert Opratko
1971,Belgium,BRT,Jacques Raymond and Lily Castel,"Goeie morgen, morgen",Dutch,Paul QuintensPhil Van Cauwenbergh,Francis Bay
1971,Finland,YLE,Markku Aro and Koivisto Sisters,Tie uuteen päivään,Finnish,Rauno Lehtinen,Ossi Runne
1971,France,ORTF,Serge Lama,Un jardin sur la terre,French,Jacques Demarny Henri DijanAlice Dona,Franck Pourcel
1971,Germany,HR,Katja Ebstein,Diese Welt,German,Fred Jay Dieter Zimmermann,Dieter Zimmermann
1971,Ireland,RTÉ,Angela Farrell,One Day Love,English,Ita FlynnDonald Martin,Noel Kelehan
1971,Italy,RAI,Massimo Ranieri,L'amore è un attimo,Italian,Giancarlo BigazziEnrico Polito Gaetano Savio,Enrico Polito
1971,Luxembourg,CLT,Monique Melsen,"Pomme, pomme, pomme",French,Pierre CourHubert Giraud,Jean Claudric
1971,Malta,MBA,Joe Grech,Marija l-Maltija,Maltese,Joe GrechCharles Mifsud,Anthony Chircop
1971,Monaco,TMC,Séverine,"Un banc, un arbre, une rue",French,Jean-Pierre BourtayreYves Dessca,Jean-Claude Petit
1971,Netherlands,NOS,Saskia and Serge,Tijd,Dutch,Gerrit den BraberJoop Stokkermans,Dolf van der Linden
1971,Norway,NRK,Hanne Krogh,Lykken er...,Norwegian,Arne Bendiksen,Arne Bendiksen
1971,Portugal,RTP,Tonicha,Menina do alto da serra,Portuguese,Nuno Nazareth Fernandes José Carlos Ary dos Santos,Jorge Costa Pinto
1971,Spain,TVE,Karina,En un mundo nuevo,Spanish,Tony Luz Rafael Trabucchelli,Waldo de los Ríos
1971,Sweden,SR,The Family Four,Vita vidder,Swedish,Håkan Elmquist,Claes Rosendahl
